Lon,Lat,Precipitation,Log(Precipitation),Elevation,30 Year Average September Precipitation,30 Year Average September Temperature,Residual
-85.25511504,29.74488496,12.26255928,2.514672492,10,160.0299988,26.04089928,2.119694349
-85.15000153,29.75,13.25568907,2.591942442,6,163.4695892,26.01789856,2.110745498
-85.15511657,29.84488496,13.01828427,2.574007003,6,160.2419891,25.92649841,2.069998814
-85.05938271,29.84062035,15.35591758,2.737991945,11,162.5374908,25.9489994,2.161069664
-84.85511352,29.84488496,12.16040603,2.506375048,8,158.2688904,25.94739914,1.798326433
-84.75937965,29.84062035,13.49312183,2.609563917,9,156.4303894,26.01009941,1.832900768
-85.25511504,29.94488496,9.553579349,2.267328764,12,156.9815979,25.77359962,1.817326876
-85.15938118,29.94062035,11.73617223,2.471160286,13,156.4196014,25.59869957,1.990353163
-84.95511199,29.94488496,14.4631199,2.678492299,12,150.2304993,25.68159866,2.063512377
-85.55000305,30.05,8.202676528,2.116577936,9,152.0018005,26.20919991,1.749644921
-85.25511504,30.04488496,10.91014008,2.398816674,17,159.3930969,25.54089928,1.92615203
-85.15938118,30.04062035,11.68876306,2.467146795,14,158.7949982,25.54299927,1.931548731
-85.0551181,30.04488496,13.62720534,2.619379655,14,151.313797,25.6215992,2.025524366
-85.4593766,30.14062035,9.301054478,2.240821861,17,150.7200012,25.88419914,1.828811775
-84.85511352,30.14488496,10.80747765,2.389448577,23,142.5832977,25.70170021,1.628422346
-87.94999695,30.25,0.021270013,-2.109735703,-1,168.7725983,26.3185997,-1.312841819
-85.5551181,30.24488496,7.380125476,2.012249567,17,149.9088898,25.78959846,1.6256797
-85.4593766,30.24062035,8.619058714,2.165511286,22,151.2063904,25.62389946,1.743776324
-85.15511657,30.24488496,10.59061336,2.3693661,21,149.3860016,25.61199951,1.748630105
-84.85937813,30.24062035,10.51178243,2.361964934,30,137.5659027,25.6140995,1.592496326
-87.65511657,30.34488496,0.04799795,-1.910556857,19,169.9319916,25.73239899,-1.202265822
-85.65938118,30.34062035,4.789943358,1.58718072,23,151.6458893,25.85299873,1.203042919
-84.95511199,30.34488496,8.788972091,2.184811418,43,135.175293,25.4734993,1.468823966
-87.25511504,30.44488496,0.395635858,-0.701913778,31,169.9093018,26.17679977,-0.319977994
-86.85937813,30.44062035,0.333893749,-0.834955592,20,162.9785004,26.09309959,-0.633764598
-86.65000153,30.45,0.220652212,-1.137398195,18,162.6044922,25.87170029,-1.022606571
-86.05938271,30.44062035,3.377122607,1.246205115,13,156.2014923,25.79599953,1.047419667
-85.85511352,30.44488496,4.256726061,1.471720872,24,158.2108002,25.6113987,1.172814406
-84.75937965,30.44062035,9.677381282,2.280071686,58,129.344101,25.41739845,1.419640946
-84.65511657,30.44488496,11.81742042,2.47800123,51,129.6147003,25.37439919,1.541809138
-87.85511352,30.54488496,0.10492249,-1.58512347,38,166.3024902,25.53429985,-0.826697494
-87.65938118,30.54062035,0.129203959,-1.473143019,38,167.9471893,25.41899872,-0.795384867
-87.5551181,30.54488496,0.091574276,-1.652479683,35,164.950592,25.46159935,-1.027560423
-86.55938271,30.54062035,0.361591911,-0.773074087,38,162.3304901,25.72169876,-0.719981357
-86.35511352,30.54488496,1.732971245,0.605938282,35,164.5087891,25.67709923,0.533967556
-85.9593766,30.54062035,3.426074385,1.26018518,33,160.0697021,25.31760025,1.024103626
-85.85511352,30.54488496,3.040885778,1.144504855,16,161.1434021,25.46239853,0.801467042
-85.75937965,30.54062035,4.076836238,1.429554079,47,153.3173981,25.3409996,1.097662131
-85.65511657,30.54488496,5.453747534,1.714472931,36,146.3376007,25.42399979,1.320473656
-85.55938271,30.54062035,6.229356973,1.845198647,36,141.9288025,25.42980003,1.408527376
-85.35511352,30.54488496,8.823967614,2.188740647,70,139.3759003,25.31189919,1.666286666
-85.15938118,30.54062035,9.235977347,2.233875469,37,131.2445984,25.47369957,1.569406502
-84.95511199,30.54488496,7.641313536,2.046571381,67,129.29599,25.27149963,1.299924683
-84.75937965,30.54062035,9.469934638,2.258626376,76,126.4001999,25.19549942,1.407629931
-87.75511504,30.64488496,0.074006418,-1.748663098,55,164.6483917,25.33539963,-1.041479539
-87.65938118,30.64062035,0.088215437,-1.67016803,40,165.5839996,25.36219978,-1.02554148
